competence_code,levier
1004,Electricité renouvelable
1004,Biogaz
1020,Réseaux de chaleur décarbonés
1025,Sobriété et isolation des bâtiments (tertiaire)
1025,Sobriété des bâtiments (résidentiel)
1025,Changement chaudières gaz + rénovation (résidentiel)
1025,Changement chaudières fioul + rénovation (résidentiel)
1510,Prévention des déchets
1510,Valorisation matière des déchets
1510,Captage de méthane dans les ISDND
1510,Biogaz
1525,Efficacité et carburants décarbonés des véhicules privés
1525,Bus et cars décarbonés
1528,Gestion des prairies
1532,Gestion des forêts et produits bois
1532,Pratiques stockantes
1534,Pratiques stockantes
1534,Gestion des haies
1540,Gestion des haies
1540,Gestion des forêts et produits bois
1540,Pratiques stockantes
1550,Véhicules électriques
1555,Sobriété foncière
1555,Réduction des déplacements
1555,Electricité renouvelable
1555,Prévention des déchets
1555,Vélo et transport en commun
1560,Electricité renouvelable
1560,Biogaz
1560,Réseaux de chaleur décarbonés
1560,Sobriété des bâtiments (résidentiel)
1560,Changement chaudières gaz + rénovation (résidentiel)
1560,Changement chaudières fioul + rénovation (résidentiel)
3505,Production Industrielle
3505,Efficacité et sobriété logistique
3505,Fret décarboné et multimodalité
4016,Sobriété et isolation des bâtiments (tertiaire)
4016,Changement de chaudière à fioul (tertiaire)
4016,Changement de chaudière à gaz (tertiaire)
4505,Sobriété foncière
4505,Réduction des déplacements
4505,Fret décarboné et multimodalité
4515,Sobriété foncière
4515,Réduction des déplacements
4515,Gestion des haies
4531,Bus et cars décarbonés
4532,Bus et cars décarbonés
4532,Vélo et transport en commun
4550,Vélo et transport en commun
4550,Covoiturage
4550,Réduction des déplacements
4550,Véhicules électriques
4550,Efficacité et sobriété logistique
4560,Sobriété foncière
4560,Sobriété des bâtiments (résidentiel)
5005,Vélo et transport en commun
5005,Covoiturage
5005,Efficacité et sobriété logistique
5005,Fret décarboné et multimodalité
5015,Covoiturage
5015,Véhicules électriques
5015,Vélo et transport en commun
5210,Réduction des déplacements
5505,Sobriété des bâtiments (résidentiel)
5505,Changement chaudières gaz + rénovation (résidentiel)
5505,Changement chaudières fioul + rénovation (résidentiel)
5505,Sobriété foncière
5515,Sobriété des bâtiments (résidentiel)
5515,Changement chaudières fioul + rénovation (résidentiel)
5515,Changement chaudières gaz + rénovation (résidentiel)
5525,Sobriété des bâtiments (résidentiel)
5525,Changement chaudières fioul + rénovation (résidentiel)
5525,Changement chaudières gaz + rénovation (résidentiel)
5530,Sobriété des bâtiments (résidentiel)
5535,Sobriété des bâtiments (résidentiel)
5535,Changement chaudières fioul + rénovation (résidentiel)
5535,Changement chaudières gaz + rénovation (résidentiel)
5550,Sobriété des bâtiments (résidentiel)
5550,Changement chaudières fioul + rénovation (résidentiel)
7020,Sobriété et isolation des bâtiments (tertiaire)
7025,Vélo et transport en commun
