levier,categorie_id,categorie
Elevage durable,6,Sensibilisation
Elevage durable,4,Gouvernance
Elevage durable,3,Financement
Changements de pratiques de fertilisation azotée,6,Sensibilisation
Changements de pratiques de fertilisation azotée,4,Gouvernance
Bâtiments & Machines agricoles,6,Sensibilisation
Bâtiments & Machines agricoles,4,Gouvernance
Bâtiments & Machines agricoles,3,Financement
Gestion des prairies,6,Sensibilisation
Gestion des prairies,4,Gouvernance
Gestion des prairies,3,Financement
Production Industrielle,6,Sensibilisation
Production Industrielle,4,Gouvernance
Production Industrielle,3,Financement
